Time,Toy_Switch,Child_EG,Parent_EG
00:22.4,Toy Switch Present,,
00:22.4,Toy Switch Present,,
00:22.4,Toy Switch Present,,
00:22.5,Toy Switch Present,,
00:22.5,Toy Switch Present,,
00:22.5,Toy Switch Present,,
00:22.6,Toy Switch Present,,
00:22.6,Toy Switch Present,,
00:22.6,Toy Switch Present,,
00:22.7,Toy Switch Present,,
00:22.7,Toy Switch Present,,
00:22.7,Toy Switch Present,,
00:22.8,Toy Switch Present,,
00:22.8,Toy Switch Present,,
00:22.8,Toy Switch Present,,
00:22.9,Toy Switch Present,,
00:22.9,Toy Switch Present,,
00:22.9,Toy Switch Present,,
00:23.0,Toy Switch Present,,
00:23.0,Toy Switch Present,,
00:23.0,Toy Switch Present,,
00:23.1,Toy Switch Present,,
00:23.1,Toy Switch Present,,
00:23.1,Toy Switch Present,,
00:23.1,Toy Switch Present,,
00:23.2,Toy Switch Present,,
00:23.2,Toy Switch Present,,
00:23.2,Toy Switch Present,,
00:23.3,Toy Switch Present,,
00:23.3,Toy Switch Present,,
00:23.3,Toy Switch Present,,
00:23.4,Toy Switch Present,,
00:23.4,Toy Switch Present,,
00:23.5,Toy Switch Present,,
00:23.5,Toy Switch Present,,
00:23.5,Toy Switch Present,,
00:23.6,Toy Switch Present,,
00:23.6,Toy Switch Present,,
00:23.6,Toy Switch Present,,
00:23.6,Toy Switch Present,,
00:23.7,Toy Switch Present,,
00:23.7,Toy Switch Present,,
00:23.8,Toy Switch Present,,
00:23.8,Toy Switch Present,,
00:23.8,Toy Switch Present,,
00:23.8,Toy Switch Present,,
00:23.9,Toy Switch Present,,
00:23.9,Toy Switch Present,,
00:23.9,Toy Switch Present,,
00:24.0,Toy Switch Present,,
00:24.0,Toy Switch Present,,
00:24.0,Toy Switch Present,,
00:24.1,Toy Switch Present,,
00:24.1,Toy Switch Present,,
00:24.1,Toy Switch Present,,
00:24.2,Toy Switch Present,,
00:24.2,Toy Switch Present,,
00:24.2,Toy Switch Present,,
00:24.3,Toy Switch Present,,
00:24.3,Toy Switch Present,,
00:24.4,Toy Switch Present,,
00:24.4,Toy Switch Present,,
00:24.4,Toy Switch Present,,
00:24.4,Toy Switch Present,,
00:24.5,Toy Switch Present,,
00:24.5,Toy Switch Present,,
00:24.6,Toy Switch Present,,
00:24.6,Toy Switch Present,,
00:24.6,Toy Switch Present,,
00:24.6,Toy Switch Present,,
00:24.7,Toy Switch Present,,
00:24.7,Toy Switch Present,,
00:24.8,Toy Switch Present,,
00:24.8,Toy Switch Present,,
00:24.8,Toy Switch Present,,
00:24.8,Toy Switch Present,,
00:24.9,Toy Switch Present,,
00:24.9,Toy Switch Present,,
00:24.9,Toy Switch Present,,
00:25.0,Toy Switch Present,,
00:25.0,Toy Switch Present,,
00:25.1,Toy Switch Present,,
00:25.1,Toy Switch Present,,
00:25.1,Toy Switch Present,,
00:25.1,Toy Switch Present,,
00:25.2,Toy Switch Present,,
00:25.2,Toy Switch Present,,
00:25.3,Toy Switch Present,,
00:25.3,Toy Switch Present,,
00:25.3,Toy Switch Present,,
00:25.4,Toy Switch Present,,
00:25.4,Toy Switch Present,,
00:25.4,Toy Switch Present,,
00:25.5,Toy Switch Present,,
00:25.5,Toy Switch Present,,
00:25.5,Toy Switch Present,,
00:25.6,Toy Switch Present,,
00:25.6,Toy Switch Present,,
00:25.6,Toy Switch Present,,
00:25.6,Toy Switch Present,,
00:25.7,Toy Switch Present,,
00:25.7,Toy Switch Present,,
00:25.8,Toy Switch Present,,
00:25.8,Toy Switch Present,,
00:25.8,Toy Switch Present,,
00:25.9,Toy Switch Present,,
00:25.9,Toy Switch Present,,
00:25.9,Toy Switch Present,,
00:25.9,Toy Switch Present,,
00:26.0,Toy Switch Present,,
00:26.0,Toy Switch Present,,
00:26.1,Toy Switch Present,,
00:26.1,Toy Switch Present,,
00:26.1,Toy Switch Present,,
00:26.1,Toy Switch Present,,
00:26.2,Toy Switch Present,,
00:26.2,Toy Switch Present,,
00:26.3,Toy Switch Present,,
00:26.3,Toy Switch Present,,
00:26.3,Toy Switch Present,,
00:26.3,Toy Switch Present,,
00:26.4,Toy Switch Present,,
00:26.4,Toy Switch Present,,
00:26.5,Toy Switch Present,,
00:26.5,Toy Switch Present,,
00:26.5,Toy Switch Present,,
00:26.5,Toy Switch Present,,
00:26.6,Toy Switch Present,,
00:26.6,Toy Switch Present,,
00:26.6,Toy Switch Present,,
00:26.7,Toy Switch Present,,
00:26.7,Toy Switch Present,,
00:26.8,Toy Switch Present,,
00:26.8,Toy Switch Present,,
00:26.8,Toy Switch Present,,
00:26.8,Toy Switch Present,,
00:26.9,Toy Switch Present,,
00:26.9,Toy Switch Present,,
00:26.9,Toy Switch Present,,
00:27.0,Toy Switch Present,,
00:27.0,Toy Switch Present,,
00:27.1,Toy Switch Present,,
00:27.1,Toy Switch Present,,
00:27.1,Toy Switch Present,,
00:27.2,Toy Switch Present,,
00:27.2,Toy Switch Present,,
